timestamp,Close,High,Low,Open,Volume
2026-03-13 16:00:00+00:00,2136.654052734375,2141.87646484375,2113.172607421875,2128.917724609375,0
2026-03-13 17:00:00+00:00,2100.51904296875,2140.05517578125,2092.907958984375,2134.0712890625,513896448
2026-03-13 18:00:00+00:00,2101.381591796875,2107.23486328125,2093.870361328125,2102.0185546875,175929344
2026-03-13 19:00:00+00:00,2102.09130859375,2105.67578125,2098.2705078125,2100.939208984375,0
2026-03-13 20:00:00+00:00,2111.70703125,2113.55224609375,2102.19384765625,2102.539306640625,188594176
2026-03-13 21:00:00+00:00,2105.097412109375,2115.84033203125,2102.54345703125,2111.800537109375,0
2026-03-13 22:00:00+00:00,2089.40673828125,2103.873779296875,2079.372802734375,2103.447021484375,70072320
2026-03-13 23:00:00+00:00,2092.558349609375,2093.465087890625,2086.212158203125,2089.122802734375,14336
2026-03-14 00:00:00+00:00,2086.299072265625,2094.5556640625,2083.6220703125,2092.439697265625,0
2026-03-14 01:00:00+00:00,2093.876708984375,2094.078857421875,2082.9482421875,2085.7001953125,0
2026-03-14 02:00:00+00:00,2094.002197265625,2095.089111328125,2090.215087890625,2092.805908203125,0
2026-03-14 03:00:00+00:00,2100.936279296875,2102.228271484375,2092.95703125,2092.95703125,0
2026-03-14 04:00:00+00:00,2090.206787109375,2105.5712890625,2089.14892578125,2101.1201171875,24535040
2026-03-14 05:00:00+00:00,2092.67236328125,2093.855224609375,2087.974853515625,2090.403564453125,0
2026-03-14 06:00:00+00:00,2078.817138671875,2092.7470703125,2073.95458984375,2092.7470703125,0
2026-03-14 07:00:00+00:00,2078.352783203125,2080.661376953125,2076.6953125,2078.723876953125,0
2026-03-14 08:00:00+00:00,2074.7421875,2080.733642578125,2073.544189453125,2077.88330078125,0
2026-03-14 09:00:00+00:00,2068.376220703125,2077.58984375,2065.7294921875,2074.77734375,0
2026-03-14 10:00:00+00:00,2066.601806640625,2069.098388671875,2063.405517578125,2067.80029296875,0
2026-03-14 11:00:00+00:00,2073.813720703125,2076.689208984375,2066.55322265625,2066.7626953125,0
2026-03-14 12:00:00+00:00,2075.210205078125,2077.20751953125,2070.99755859375,2073.946533203125,0
2026-03-14 13:00:00+00:00,2079.04638671875,2079.71728515625,2074.355712890625,2074.832275390625,0
2026-03-14 14:00:00+00:00,2073.280029296875,2080.361328125,2070.795654296875,2079.296630859375,0
2026-03-14 15:00:00+00:00,2075.015625,2077.787109375,2071.413818359375,2071.413818359375,0
2026-03-14 16:00:00+00:00,2077.857421875,2078.41552734375,2069.904052734375,2074.450439453125,0
2026-03-14 17:00:00+00:00,2074.822509765625,2078.155029296875,2074.075927734375,2077.768310546875,0
